COD_TOURNEY_ID,DES_TOURNEY_NAME,DES_TOURNEY_LEVEL,NUM_TOURNEY_DRAW_SIZE,DES_TOURNEY_SURFACE,FLAG_TOURNEY_IS_INDOOR,DES_TOURNEY_STATUS,DATE_TOURNEY_START,REF_YEAR,DATE_INGESTION,SK_TOURNEY
1968-2016,London 3,Other,8,Hard,No,Finished,1968-11-18,1968,2026-08-22,1
1968-2029,Dublin,Other,32,Grass,No,Finished,1968-07-08,1968,2026-08-22,2
1968-2030,Haverford,Other,64,Grass,No,Finished,1968-07-22,1968,2026-08-22,3
1968-2058,New York 1,Other,32,Carpet,Yes,Finished,1968-03-25,1968,2026-08-22,4
1968-2066,Macon,Other,32,Hard,No,Finished,1968-02-19,1968,2026-08-22,5
1968-243,Perth,Other,-1,-,No,Finished,1968-01-01,1968,2026-08-22,6
1968-260,Durban 1,Other,64,Hard,No,Finished,1968-01-08,1968,2026-08-22,7
1968-301,Auckland,Other,32,Grass,No,Finished,1968-01-29,1968,2026-08-22,8
1968-303,Buenos Aires,Other,16,Clay,No,Finished,1968-11-11,1968,2026-08-22,9
1968-308,Munich,Other,64,Clay,No,Finished,1968-07-29,1968,2026-08-22,10
1968-311,London,Other,64,Grass,No,Finished,1968-06-17,1968,2026-08-22,11
1968-313,Bristol,Other,-1,-,No,Finished,1968-06-10,1968,2026-08-22,12
1968-314,Gstaad,Other,32,Clay,No,Finished,1968-07-15,1968,2026-08-22,13
1968-316,Bastad 1,Other,32,Clay,No,Finished,1968-07-08,1968,2026-08-22,14
1968-317,Hilversum,Other,64,Clay,No,Finished,1968-07-22,1968,2026-08-22,15
1968-319,Kitzbuehel,Other,32,Clay,No,Finished,1968-08-19,1968,2026-08-22,16
1968-325,Palermo,Other,32,Clay,No,Finished,1968-04-15,1968,2026-08-22,17
1968-344,Caracas,Other,64,Hard,No,Finished,1968-03-11,1968,2026-08-22,18
1968-347,Bournemouth,Other,32,Clay,No,Finished,1968-04-22,1968,2026-08-22,19
1968-355,Salisbury,Other,64,Hard,No,Finished,1968-02-12,1968,2026-08-22,20
1968-3940,Barranquilla,Other,32,Clay,No,Finished,1968-03-04,1968,2026-08-22,21
1968-3943,Boston 2,Other,128,Grass,No,Finished,1968-08-12,1968,2026-08-22,22
1968-401,Philadelphia WCT,Other,16,Carpet,Yes,Finished,1968-02-05,1968,2026-08-22,23
1968-405,Houston 2,Other,32,Clay,No,Finished,1968-04-15,1968,2026-08-22,24
1968-410,Monte Carlo,Other,64,Clay,No,Finished,1968-04-15,1968,2026-08-22,25
1968-414,Hamburg,Other,64,Clay,No,Finished,1968-08-12,1968,2026-08-22,26
1968-416,Rome,Masters 1000,128,Clay,No,Finished,1968-05-06,1968,2026-08-22,27
1968-417,Boston 1,Other,16,Grass,No,Finished,1968-06-10,1968,2026-08-22,28
1968-421,Toronto,Masters 1000,64,Clay,No,Finished,1968-08-12,1968,2026-08-22,29
1968-422,Cincinnati,Masters 1000,16,Clay,No,Finished,1968-07-01,1968,2026-08-22,30
1968-423,Los Angeles,Other,64,Hard,No,Finished,1968-09-09,1968,2026-08-22,31
1968-424,Berkeley,Other,128,Hard,No,Finished,1968-09-16,1968,2026-08-22,32
1968-425,Barcelona,Other,64,Clay,No,Finished,1968-06-03,1968,2026-08-22,33
1968-426,Johannesburg 1,Other,64,Hard,No,Finished,1968-04-01,1968,2026-08-22,34
1968-430,Wembley 3,Other,16,Hard,No,Finished,1968-11-11,1968,2026-08-22,35
1968-436,Charlotte,Other,16,Clay,No,Finished,1968-04-15,1968,2026-08-22,36
1968-520,Roland Garros,Grand Slam,128,Clay,No,Finished,1968-05-27,1968,2026-08-22,37
1968-540,Wimbledon,Grand Slam,128,Grass,No,Finished,1968-06-24,1968,2026-08-22,38
1968-560,US Open,Grand Slam,96,Grass,No,Finished,1968-08-26,1968,2026-08-22,39
1968-580,Australian Chps.,Grand Slam,64,Grass,No,Finished,1968-01-15,1968,2026-08-22,40
1968-583,Manchester,Other,-1,-,No,Finished,1968-06-03,1968,2026-08-22,41
1968-653,Fort Worth NTL,Other,8,Hard,No,Finished,1968-08-12,1968,2026-08-22,42
1968-654,Sacramento,Other,64,Hard,No,Finished,1968-05-27,1968,2026-08-22,43
1968-681,Miami WCT,Other,8,Carpet,Yes,Finished,1968-02-05,1968,2026-08-22,44
1968-6811,Los Angeles NTL,Other,16,Carpet,Yes,Finished,1968-07-15,1968,2026-08-22,45
1968-6816,Corpus Christi NTL,Other,8,Hard,No,Finished,1968-09-30,1968,2026-08-22,46
1968-6817,San Juan,Other,32,Hard,No,Finished,1968-04-01,1968,2026-08-22,47
1968-6818,St. Petersburg,Other,32,Clay,No,Finished,1968-04-08,1968,2026-08-22,48
1968-6832,Midland NTL,Other,8,Hard,No,Finished,1968-09-23,1968,2026-08-22,49
1968-707,South Orange,Other,64,Grass,No,Finished,1968-07-29,1968,2026-08-22,50
1968-713,Hobart,Other,8,Grass,No,Finished,1968-12-30,1968,2026-08-22,51
1968-717,Milwaukee,Other,64,Clay,No,Finished,1968-07-15,1968,2026-08-22,52
1968-7308,Adelaide,Other,64,Grass,No,Finished,1968-11-18,1968,2026-08-22,53
1968-7310,Beckenham,Other,64,Grass,No,Finished,1968-06-10,1968,2026-08-22,54
1968-802,Richmond,Other,8,Hard,No,Finished,1968-01-29,1968,2026-08-22,55
1968-9206,New York 3,Other,8,Carpet,Yes,Finished,1968-11-25,1968,2026-08-22,56
1968-9240,Berlin,Other,32,Clay,No,Finished,1968-05-27,1968,2026-08-22,57
1968-9277,Curacao,Other,32,Hard,No,Finished,1968-03-18,1968,2026-08-22,58
1968-9278,New Orleans 2,Other,16,Carpet,Yes,Finished,1968-12-23,1968,2026-08-22,59
1968-9282,New York NTL,Other,8,Carpet,Yes,Finished,1968-05-13,1968,2026-08-22,60
1968-9287,Binghamton NTL,Other,4,Hard,No,Finished,1968-08-05,1968,2026-08-22,61
1968-9288,Southampton,Other,64,Grass,No,Finished,1968-08-05,1968,2026-08-22,62
1968-9291,Newport WCT,Other,8,Grass,No,Finished,1968-08-12,1968,2026-08-22,63
1968-9295,Sydney WCT,Other,8,Carpet,Yes,Finished,1968-01-15,1968,2026-08-22,64
1968-9296,WCT World Cup,Other,8,Carpet,Yes,Finished,1968-01-29,1968,2026-08-22,65
1968-9297,Shreveport WCT,Other,8,Hard,No,Finished,1968-02-05,1968,2026-08-22,66
1968-9298,Houston WCT,Other,8,Carpet,Yes,Finished,1968-02-12,1968,2026-08-22,67
1968-9299,New Orleans WCT,Other,8,Carpet,Yes,Finished,1968-02-12,1968,2026-08-22,68
1968-9300,Orlando WCT,Other,8,Carpet,Yes,Finished,1968-02-19,1968,2026-08-22,69
1968-9301,Tulsa WCT,Other,8,Carpet,Yes,Finished,1968-02-26,1968,2026-08-22,70
1968-9302,Sao Paulo NTL 1,Other,4,Clay,No,Finished,1968-03-18,1968,2026-08-22,71
1968-9303,San Diego WCT,Other,8,Carpet,Yes,Finished,1968-03-18,1968,2026-08-22,72
1968-9304,Buenos Aires NTL,Other,4,Clay,No,Finished,1968-03-18,1968,2026-08-22,73
1968-9305,Bogota NTL,Other,4,Clay,No,Finished,1968-03-25,1968,2026-08-22,74
1968-9306,Los Altos Hills WCT,Other,8,Carpet,Yes,Finished,1968-03-25,1968,2026-08-22,75
1968-9307,Bakersfield WCT,Other,8,Carpet,Yes,Finished,1968-04-01,1968,2026-08-22,76
1968-9308,Fresno WCT,Other,8,Carpet,Yes,Finished,1968-04-01,1968,2026-08-22,77
1968-9309,Hollywood NTL,Other,16,Clay,No,Finished,1968-04-08,1968,2026-08-22,78
1968-9310,Paris NTL,Other,8,Hard,No,Finished,1968-04-15,1968,2026-08-22,79
1968-9311,Wembley NTL 1,Other,4,Hard,No,Finished,1968-04-15,1968,2026-08-22,80
1968-9312,Evansville WCT,Other,8,Carpet,Yes,Finished,1968-04-15,1968,2026-08-22,81
1968-9313,Wembley NTL 2,Other,8,Hard,No,Finished,1968-04-29,1968,2026-08-22,82
1968-9314,Minneapolis WCT,Other,8,Carpet,Yes,Finished,1968-04-29,1968,2026-08-22,83
1968-9315,Buffalo WCT,Other,8,Carpet,Yes,Finished,1968-05-06,1968,2026-08-22,84
1968-9316,Baltimore WCT,Other,8,Carpet,Yes,Finished,1968-05-27,1968,2026-08-22,85
