TOURNEY_ID,TOURNEY_NAME,TOURNEY_LEVEL,TOURNEY_DRAW_SIZE,TOURNEY_SURFACE,TOURNEY_IS_INDOOR,TOURNEY_START_DATE,REF_YEAR
1968-D040,Davis Cup,Davis Cup,4,-,-,1968-01-10,1968
1968-9282,New York NTL,Outro,8,Carpet,Sim,1968-01-15,1968
1970-343,Columbus,Outro,8,Hard,-,1970-01-14,1970
1971-D032,Davis Cup,Davis Cup,4,-,-,1971-01-30,1971
1972-D046,Davis Cup,Davis Cup,4,Clay,-,1972-01-05,1972
1973-418,Washington,Outro,64,Clay,-,1973-01-23,1973
1974-D036,Davis Cup,Davis Cup,4,-,-,1974-01-12,1974
1974-407,Rotterdam,Outro,32,Carpet,Sim,1974-01-25,1974
1976-243,Perth,Outro,32,Hard,-,1976-01-25,1976
1977-580,Australian Open,Grand Slam,64,Grass,-,1977-01-01,1977
1977-427,Sydney Indoor,Outro,32,Hard,Sim,1977-01-17,1977
1978-412,Atlanta,Outro,32,Hard,-,1978-01-21,1978
1979-540,Wimbledon,Grand Slam,128,Grass,-,1979-01-25,1979
1981-326,Brisbane,Outro,32,Grass,-,1981-01-05,1981
1983-D039,Davis Cup,Davis Cup,4,Carpet,Sim,1983-01-04,1983
1984-D047,Davis Cup,Davis Cup,4,Hard,-,1984-01-02,1984
1984-427,Sydney Indoor,Outro,32,Hard,Sim,1984-01-08,1984
1984-421,Montreal / Toronto,Masters 1000,56,Hard,-,1984-01-13,1984
1988-D047,Davis Cup,Davis Cup,4,Grass,-,1988-01-10,1988
1990-D050,Davis Cup,Davis Cup,4,Hard,-,1990-01-02,1990
1991-D067,Davis Cup,Davis Cup,4,Hard,-,1991-01-10,1991
1991-357,Stuttgart Indoor,Outro,32,Carpet,Sim,1991-01-18,1991
1993-301,Auckland,Outro,32,Hard,-,1993-01-11,1993
1993-D051,Davis Cup,Davis Cup,4,Clay,-,1993-01-26,1993
1994-D014,Davis Cup,Davis Cup,4,Hard,-,1994-01-15,1994
1995-D007,Davis Cup,Davis Cup,4,Clay,-,1995-01-03,1995
1995-306,St. Poelten,Outro,32,Clay,-,1995-01-19,1995
1997-747,Beijing,Outro,32,Hard,-,1997-01-29,1997
1999-D044,Davis Cup,Davis Cup,4,Carpet,Sim,1999-01-02,1999
1999-D016,Davis Cup,Davis Cup,4,Clay,-,1999-01-16,1999
2000-D002,Davis Cup,Davis Cup,4,Clay,-,2000-01-07,2000
2000-D056,Davis Cup,Davis Cup,4,Carpet,Sim,2000-01-21,2000
2001-301,Auckland,Outro,32,Hard,-,2001-01-08,2001
2002-D049,Davis Cup,Davis Cup,4,Hard,-,2002-01-05,2002
2003-D017,Davis Cup,Davis Cup,4,Carpet,Sim,2003-01-07,2003
2003-D084,Davis Cup,Davis Cup,4,Clay,-,2003-01-19,2003
2003-D051,Davis Cup,Davis Cup,4,Hard,-,2003-01-20,2003
2005-D013,Davis Cup,Davis Cup,4,Hard,-,2005-01-23,2005
2008-D047,Davis Cup,Davis Cup,4,Hard,-,2008-01-11,2008
2008-404,Indian Wells Masters,Masters 1000,96,Hard,-,2008-01-13,2008
2008-306,Poertschach,Outro,32,Clay,-,2008-01-18,2008
2010-D017,Davis Cup,Davis Cup,4,Hard,-,2010-01-05,2010
2011-D028,Davis Cup,Davis Cup,4,Clay,-,2011-01-04,2011
2013-D047,Davis Cup,Davis Cup,4,Hard,-,2013-01-01,2013
2014-605,Tour Finals,ATP Finals,8,Hard,-,2014-01-09,2014
2014-D055,Davis Cup,Davis Cup,4,Hard,-,2014-01-31,2014
2017-M-DC-2017-G1-EPA-M-SVK-HUN-01,Davis Cup,Davis Cup,4,Hard,-,2017-01-03,2017
2017-M-DC-2017-WG-PO-CAN-IND-01,Davis Cup,Davis Cup,4,Hard,-,2017-01-15,2017
2020-M-DC-2020-WG1-PO-PAK-SLO-01,Davis Cup,Davis Cup,4,Grass,-,2020-01-06,2020
2021-0407,Rotterdam,Outro,32,Hard,-,2021-01-01,2021
2021-M-DC-2021-FLS-E-M-ITA-COL-01,Davis Cup,ATP Finals,2,Hard,-,2021-01-27,2021
2022-0741,Eastbourne,Outro,32,Grass,-,2022-01-20,2022
2025-M-DC-2025-WG2-PO-CYP-THA-01,Davis Cup,Davis Cup,-1,Hard,-,2025-01-31,2025
2026-580,Australian Open,Grand Slam,128,Hard,Não,2026-01-19,2026
2017-7696,NextGen Finals,ATP Finals,8,Hard,-,2017-01-06,2017
1971-2066,Macon,Outro,64,Hard,-,1971-01-01,1971
1971-D038,Davis Cup,Davis Cup,4,Hard,-,1971-01-14,1971
1971-818,Chicago WCT,Outro,32,Carpet,Sim,1971-01-28,1971
1973-583,Manchester,Outro,64,Grass,-,1973-01-04,1973
1974-389,Denver WCT,Outro,32,Carpet,Sim,1974-01-22,1974
1975-312,Bologna WCT,Outro,32,Carpet,Sim,1975-01-06,1975
1975-D025,Davis Cup,Davis Cup,4,Clay,-,1975-01-09,1975
1975-D013,Davis Cup,Davis Cup,4,-,-,1975-01-19,1975
1976-653,Fort Worth WCT,Outro,16,Hard,-,1976-01-24,1976
1976-816,Baltimore,Outro,16,Carpet,Sim,1976-01-25,1976
1978-404,Palm Springs,Outro,64,Hard,-,1978-01-13,1978
1979-713,Hobart,Outro,32,Grass,-,1979-01-01,1979
1979-707,South Orange,Outro,32,Clay,-,1979-01-30,1979
1980-418,Washington,Outro,64,Clay,-,1980-01-21,1980
1984-424,San Francisco,Outro,32,Carpet,Sim,1984-01-17,1984
1985-313,Bristol,Outro,48,Grass,-,1985-01-17,1985
1985-D041,Davis Cup,Davis Cup,4,Carpet,Sim,1985-01-18,1985
1987-D069,Davis Cup,Davis Cup,4,Hard,-,1987-01-13,1987
1989-D052,Davis Cup,Davis Cup,4,Grass,-,1989-01-05,1989
1989-404,Indian Wells,Masters 1000,56,Hard,-,1989-01-13,1989
1992-316,Bastad,Outro,32,Clay,-,1992-01-06,1992
1992-D023,Davis Cup,Davis Cup,4,Hard,-,1992-01-27,1992
1993-D064,Davis Cup,Davis Cup,4,Hard,-,1993-01-05,1993
1993-D048,Davis Cup,Davis Cup,4,Hard,-,1993-01-16,1993
1993-D034,Davis Cup,Davis Cup,4,Carpet,Sim,1993-01-26,1993
1993-308,Munich,Outro,32,Clay,-,1993-01-26,1993
1995-348,Ostrava,Outro,32,Carpet,Sim,1995-01-09,1995
1995-D058,Davis Cup,Davis Cup,4,Hard,-,1995-01-31,1995
1996-D038,Davis Cup,Davis Cup,4,Clay,-,1996-01-20,1996
1997-438,Moscow,Outro,32,Carpet,Sim,1997-01-03,1997
1997-360,Casablanca,Outro,32,Clay,-,1997-01-24,1997
1998-D005,Davis Cup,Davis Cup,4,Grass,-,1998-01-03,1998
2000-422,Cincinnati Masters,Masters 1000,64,Hard,-,2000-01-07,2000
2001-D030,Davis Cup,Davis Cup,4,Hard,-,2001-01-09,2001
2001-D068,Davis Cup,Davis Cup,4,Hard,-,2001-01-21,2001
2004-D024,Davis Cup,Davis Cup,4,Hard,-,2004-01-06,2004
2004-D012,Davis Cup,Davis Cup,4,Clay,-,2004-01-09,2004
2007-407,Rotterdam,Outro,32,Hard,-,2007-01-19,2007
2007-3465,Mumbai,Outro,32,Hard,-,2007-01-24,2007
2008-D050,Davis Cup,Davis Cup,4,Clay,-,2008-01-19,2008
2014-D060,Davis Cup,Davis Cup,4,Hard,-,2014-01-12,2014
2014-6718,Bogota,Outro,28,Hard,-,2014-01-14,2014
2016-0407,Rotterdam,Outro,32,Hard,-,2016-01-08,2016
2018-M-DC-2018-G2-EPA-M-GEO-MAR-01,Davis Cup,Davis Cup,4,Clay,-,2018-01-03,2018
2020-580,Australian Open,Grand Slam,128,Hard,-,2020-01-20,2020
2022-0421,Canada Masters,Masters 1000,64,Hard,-,2022-01-08,2022
2025-M-DC-2025-FLS-M-ITA-BEL-01,Davis Cup,ATP Finals,2,Hard,Sim,2025-01-21,2025
2025-807,Acapulco,ATP 500,32,Hard,Não,2025-01-24,2025
1968-9291,Newport WCT,Outro,8,Grass,-,1968-01-12,1968
1968-D005,Davis Cup,Davis Cup,4,Clay,-,1968-01-24,1968
1971-605,Masters,Masters 1000,7,Carpet,Sim,1971-01-04,1971
1971-D037,Davis Cup,Davis Cup,4,Hard,-,1971-01-06,1971
1972-D032,Davis Cup,Davis Cup,4,Hard,-,1972-01-21,1972
1973-2040,Washington 2,Outro,32,Carpet,Sim,1973-01-20,1973
1974-D020,Davis Cup,Davis Cup,4,Clay,-,1974-01-03,1974
1974-D053,Davis Cup,Davis Cup,4,Clay,-,1974-01-19,1974
1975-580,Australian Open,Grand Slam,32,Grass,-,1974-01-21,1974
1982-417,Boston,Outro,64,Clay,-,1982-01-12,1982
1988-D057,Davis Cup,Davis Cup,4,Hard,-,1988-01-05,1988
1989-520,Roland Garros,Grand Slam,128,Clay,-,1989-01-29,1989
1990-240,Itaparica,Outro,32,Hard,-,1990-01-05,1990
1991-430,Birmingham,Outro,32,Carpet,Sim,1991-01-04,1991
1991-201,Guaruja,Outro,32,Hard,-,1991-01-04,1991
1991-D050,Davis Cup,Davis Cup,4,Clay,-,1991-01-14,1991
1993-327,Toulouse,Outro,32,Hard,-,1993-01-04,1993
1993-D007,Davis Cup,Davis Cup,4,Clay,-,1993-01-16,1993
1997-D048,Davis Cup,Davis Cup,4,Carpet,Sim,1997-01-11,1997
1997-D045,Davis Cup,Davis Cup,4,Carpet,Sim,1997-01-19,1997
1999-D056,Davis Cup,Davis Cup,4,Hard,-,1999-01-19,1999
2000-560,US Open,Grand Slam,128,Hard,-,2000-01-28,2000
2002-308,Munich,Outro,32,Clay,-,2002-01-29,2002
2003-580,Australian Open,Grand Slam,128,Hard,-,2003-01-13,2003
2006-540,Wimbledon,Grand Slam,128,Grass,-,2006-01-26,2006
2010-D070,Davis Cup,Davis Cup,4,Clay,-,2010-01-17,2010
2011-1720,Bangkok,Outro,28,Hard,-,2011-01-26,2011
