rank,player,age,official_points,lost_earned_points,tourn_played,dropping,next_best
1,Jannik Sinner,25,"12,800",-650,17,-,-
2,Alexander Zverev,29,"7,790",-300,20,-,-
3,Carlos Alcaraz,23,"7,160",-1000,17,-,-
4,Felix Auger-Aliassime,26,"4,640",-100,22,-,-
5,Novak Djokovic,39,"3,770",+10,16,-,-
6,Flavio Cobolli,24,"3,720",+390,26,-,-
7,Alex de Minaur,27,"3,650",+90,24,-,-
8,Daniil Medvedev,30,"3,580",-,23,-,-
9,Ben Shelton,23,"3,480",-190,22,-,-
10,Taylor Fritz,28,"3,475",+100,22,-,-
11,Arthur Fils,22,"3,140",+1000,18,-,-
12,Frances Tiafoe,28,"2,680",+550,22,-,-
13,Rafael Jodar,19,"2,671",+50,22,-,-
14,Lorenzo Musetti,24,"2,605",+190,22,-,-
15,Learner Tien,20,"2,565",+20,22,-,-
16,Alexander Bublik,29,"2,525",-,26,-,-
17,Brandon Nakashima,25,"2,485",+350,25,-,-
18,Jakub Mensik,20,"2,445",+50,21,-,-
19,Jiri Lehecka,24,"2,420",-50,21,-,-
20,Casper Ruud,27,"2,385",-,22,-,-
21,Tommy Paul,29,"2,225",+150,22,-,-
22,Luciano Darderi,24,"2,175",-,30,-,-
23,Valentin Vacherot,27,"2,168",-18,22,-,-
24,Andrey Rublev,28,"2,080",-150,23,-,-
25,Francisco Cerundolo,28,"1,980",+10,23,-,-
26,Joao Fonseca,20,"1,800",-,19,-,-
27,Alejandro Davidovich Fokina,27,"1,730",-50,24,-,-
28,Alejandro Tabilo,29,"1,688",-,33,-,-
29,Arthur Rinderknech,31,"1,683",-40,26,-,-
30,Ugo Humbert,28,"1,545",-40,27,-,-
31,Tomas Martin Etcheverry,27,"1,440",-30,29,-,-
32,Alexander Blockx,21,"1,396",-,23,-,-
33,Cameron Norrie,31,"1,365",+20,25,-,-
34,Matteo Arnaldi,25,"1,349",-,21,-,-
35,Zizou Bergs,27,"1,345",-20,28,-,-
36,Ignacio Buse,22,"1,310",-25,26,-,-
37,Arthur Fery,24,"1,253",-32,19,-,-
38,Raphael Collignon,24,"1,207",-15,25,-,-
39,Daniel Merida,21,"1,157",+40,29,-,-
40,Luca Van Assche,22,"1,140",+139,26,-,-
41,Nuno Borges,29,"1,135",+90,29,-,-
42,Thiago Agustin Tirante,25,"1,125",+114,27,-,-
43,Matteo Berrettini,30,"1,115",+30,23,-,-
44,Jan-Lennard Struff,36,"1,089",+20,26,-,-
45,Alex Michelsen,21,"1,070",-20,26,-,-
46,Hubert Hurkacz,29,"1,070",+155,23,-,-
47,Denis Shapovalov,27,"1,065",+20,23,-,-
48,Mariano Navone,25,"1,065",-1,29,-,-
49,Karen Khachanov,30,"1,050",-90,24,-,-
50,Sebastian Baez,25,"1,044",+39,30,-,-
51,Juan Manuel Cerundolo,24,"1,040",+34,30,-,-
52,Quentin Halys,29,"1,030",+50,28,-,-
53,Stefanos Tsitsipas,28,"1,000",-20,24,-,-
54,Yannick Hanfmann,34,991,+5,25,-,-
55,Jaume Munar,29,990,-60,23,-,-
56,Tallon Griekspoor,30,975,-10,28,-,-
57,Daniel Altmaier,27,964,+20,32,-,-
58,Tomas Machac,25,960,-,21,-,-
59,Roman Andres Burruchaga,24,960,-2,31,-,-
60,Ethan Quinn,22,949,-30,27,-,-
61,Adolfo Daniel Vallejo,22,948,+34,28,-,-
62,Corentin Moutet,27,935,-30,28,-,-
63,Fabian Marozsan,26,930,-20,24,-,-
64,Miomir Kecmanovic,26,925,-5,30,-,-
65,Martin Landaluce,20,922,-,28,-,-
66,Pablo Carreno Busta,35,899,+14,22,-,-
67,Adrian Mannarino,38,895,-110,31,-,-
68,Sebastian Korda,26,890,-60,22,-,-
69,Vit Kopriva,29,883,-3,31,-,-
70,Jaime Faria,23,847,+85,27,-,-
71,Botic van de Zandschulp,30,834,-135,27,-,-
72,Kamil Majchrzak,30,827,-90,24,-,-
73,Jenson Brooksby,25,800,-40,24,-,-
74,Valentin Royer,25,778,+10,33,-,-
75,Jan Choinski,30,773,+3,30,-,-
76,Camilo Ugo Carabelli,27,770,-20,29,-,-
77,Marcos Giron,33,765,+15,27,-,-
78,Hamad Medjedovic,23,764,-90,18,-,-
79,James Duckworth,34,763,+20,27,-,-
80,Zachary Svajda,23,759,+10,18,-,-
81,Marin Cilic,37,751,-,23,-,-
82,Facundo Diaz Acosta,25,732,-,29,-,-
83,Marco Trungelliti,36,731,+38,24,-,-
84,Alex Molcan,28,710,-81,19,-,-
85,Rinky Hijikata,25,709,+36,31,-,-
86,Arthur Gea,21,709,-35,23,-,-
87,Sho Shimabukuro,29,705,+8,28,-,-
88,Hugo Gaston,25,697,+25,25,-,-
89,Aleksandar Kovacevic,27,690,+17,30,-,-
90,Terence Atmane,24,687,-370,28,-,-
91,Lorenzo Sonego,31,683,-35,24,-,-
92,Martin Damm,22,675,-2,24,-,-
93,Adam Walton,27,670,-,31,-,-
94,Coleman Wong,22,668,-12,27,-,-
95,Aleksandar Vukic,30,659,-7,28,-,-
96,Mattia Bellucci,25,656,-95,27,-,-
97,Aleksandr Shevchenko,25,655,-44,25,-,-
98,Roman Safiullin,29,634,-14,14,-,-
99,Jesper de Jong,26,628,+10,24,-,-
100,Jacob Fearnley,25,623,+6,26,-,-
101,Dino Prizmic,21,618,-34,15,-,-
102,Titouan Droguet,25,616,+22,28,-,-
103,Damir Dzumhur,34,612,-20,32,-,-
104,Giovanni Mpetshi Perricard,23,600,-90,26,-,-
105,Christopher O'Connell,32,598,+107,21,-,-
106,Michael Zheng,22,590,-5,17,-,-
107,Kyrian Jacquet,25,581,+30,20,-,-
108,Otto Virtanen,25,574,+10,22,-,-
109,Benjamin Bonzi,30,572,-84,21,-,-
110,Toby Samuel,23,567,-9,25,-,-
111,Emilio Nava,24,561,-43,26,-,-
112,Eliot Spizzirri,24,557,-,15,-,-
113,Yibing Wu,26,551,-2,19,-,-
114,Gabriel Diallo,24,550,-75,25,-,-
115,Nicolas Mejia,26,548,+18,27,-,-
116,Patrick Kypson,26,540,-30,19,-,-
117,Shintaro Mochizuki,23,532,-45,23,-,-
118,Zsombor Piros,26,530,-12,17,-,-
119,Henrique Rocha,22,513,+4,30,-,-
120,Vilius Gaubas,21,511,-12,27,-,-
121,Marton Fucsovics,34,510,-240,20,-,-
