COD_TOURNEY_ID,DES_TOURNEY_NAME,DES_TOURNEY_LEVEL,NUM_TOURNEY_DRAW_SIZE,DES_TOURNEY_SURFACE,FLAG_TOURNEY_IS_INDOOR,REF_YEAR,DATE_INGESTION
1968-2016,London 3,A,8.0,Hard,False,1968,2026-08-22
1968-2029,Dublin,A,32.0,Grass,False,1968,2026-08-22
1968-2030,Haverford,A,64.0,Grass,False,1968,2026-08-22
1968-2058,New York 1,A,32.0,Carpet,True,1968,2026-08-22
1968-2066,Macon,A,32.0,Hard,False,1968,2026-08-22
1968-243,Perth,A,,,False,1968,2026-08-22
1968-260,Durban 1,A,64.0,Hard,False,1968,2026-08-22
1968-301,Auckland,A,32.0,Grass,False,1968,2026-08-22
1968-303,Buenos Aires,A,16.0,Clay,False,1968,2026-08-22
1968-308,Munich,A,64.0,Clay,False,1968,2026-08-22
1968-311,London,A,64.0,Grass,False,1968,2026-08-22
1968-313,Bristol,A,,,False,1968,2026-08-22
1968-314,Gstaad,A,32.0,Clay,False,1968,2026-08-22
1968-316,Bastad 1,A,32.0,Clay,False,1968,2026-08-22
1968-317,Hilversum,A,64.0,Clay,False,1968,2026-08-22
1968-319,Kitzbuehel,A,32.0,Clay,False,1968,2026-08-22
1968-325,Palermo,A,32.0,Clay,False,1968,2026-08-22
1968-344,Caracas,A,64.0,Hard,False,1968,2026-08-22
1968-347,Bournemouth,A,32.0,Clay,False,1968,2026-08-22
1968-355,Salisbury,A,64.0,Hard,False,1968,2026-08-22
1968-3940,Barranquilla,A,32.0,Clay,False,1968,2026-08-22
1968-3943,Boston 2,A,128.0,Grass,False,1968,2026-08-22
1968-401,Philadelphia WCT,A,16.0,Carpet,True,1968,2026-08-22
1968-405,Houston 2,A,32.0,Clay,False,1968,2026-08-22
1968-410,Monte Carlo,A,64.0,Clay,False,1968,2026-08-22
1968-414,Hamburg,A,64.0,Clay,False,1968,2026-08-22
1968-416,Rome,M,128.0,Clay,False,1968,2026-08-22
1968-417,Boston 1,A,16.0,Grass,False,1968,2026-08-22
1968-421,Toronto,M,64.0,Clay,False,1968,2026-08-22
1968-422,Cincinnati,M,16.0,Clay,False,1968,2026-08-22
1968-423,Los Angeles,A,64.0,Hard,False,1968,2026-08-22
1968-424,Berkeley,A,128.0,Hard,False,1968,2026-08-22
1968-425,Barcelona,A,64.0,Clay,False,1968,2026-08-22
1968-426,Johannesburg 1,A,64.0,Hard,False,1968,2026-08-22
1968-430,Wembley 3,A,16.0,Hard,False,1968,2026-08-22
1968-436,Charlotte,A,16.0,Clay,False,1968,2026-08-22
1968-520,Roland Garros,G,128.0,Clay,False,1968,2026-08-22
1968-540,Wimbledon,G,128.0,Grass,False,1968,2026-08-22
1968-560,US Open,G,96.0,Grass,False,1968,2026-08-22
1968-580,Australian Chps.,G,64.0,Grass,False,1968,2026-08-22
1968-583,Manchester,A,,,False,1968,2026-08-22
1968-653,Fort Worth NTL,A,8.0,Hard,False,1968,2026-08-22
1968-654,Sacramento,A,64.0,Hard,False,1968,2026-08-22
1968-681,Miami WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-6811,Los Angeles NTL,A,16.0,Carpet,True,1968,2026-08-22
1968-6816,Corpus Christi NTL,A,8.0,Hard,False,1968,2026-08-22
1968-6817,San Juan,A,32.0,Hard,False,1968,2026-08-22
1968-6818,St. Petersburg,A,32.0,Clay,False,1968,2026-08-22
1968-6832,Midland NTL,A,8.0,Hard,False,1968,2026-08-22
1968-707,South Orange,A,64.0,Grass,False,1968,2026-08-22
1968-713,Hobart,A,8.0,Grass,False,1968,2026-08-22
1968-717,Milwaukee,A,64.0,Clay,False,1968,2026-08-22
1968-7308,Adelaide,A,64.0,Grass,False,1968,2026-08-22
1968-7310,Beckenham,A,64.0,Grass,False,1968,2026-08-22
1968-802,Richmond,A,8.0,Hard,False,1968,2026-08-22
1968-9206,New York 3,A,8.0,Carpet,True,1968,2026-08-22
1968-9240,Berlin,A,32.0,Clay,False,1968,2026-08-22
1968-9277,Curacao,A,32.0,Hard,False,1968,2026-08-22
1968-9278,New Orleans 2,A,16.0,Carpet,True,1968,2026-08-22
1968-9282,New York NTL,A,8.0,Carpet,True,1968,2026-08-22
1968-9287,Binghamton NTL,A,4.0,Hard,False,1968,2026-08-22
1968-9288,Southampton,A,64.0,Grass,False,1968,2026-08-22
1968-9291,Newport WCT,A,8.0,Grass,False,1968,2026-08-22
1968-9295,Sydney WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9296,WCT World Cup,A,8.0,Carpet,True,1968,2026-08-22
1968-9297,Shreveport WCT,A,8.0,Hard,False,1968,2026-08-22
1968-9298,Houston WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9299,New Orleans WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9300,Orlando WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9301,Tulsa WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9302,Sao Paulo NTL 1,A,4.0,Clay,False,1968,2026-08-22
1968-9303,San Diego WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9304,Buenos Aires NTL,A,4.0,Clay,False,1968,2026-08-22
1968-9305,Bogota NTL,A,4.0,Clay,False,1968,2026-08-22
1968-9306,Los Altos Hills WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9307,Bakersfield WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9308,Fresno WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9309,Hollywood NTL,A,16.0,Clay,False,1968,2026-08-22
1968-9310,Paris NTL,A,8.0,Hard,False,1968,2026-08-22
1968-9311,Wembley NTL 1,A,4.0,Hard,False,1968,2026-08-22
1968-9312,Evansville WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9313,Wembley NTL 2,A,8.0,Hard,False,1968,2026-08-22
1968-9314,Minneapolis WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9315,Buffalo WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9316,Baltimore WCT,A,8.0,Carpet,True,1968,2026-08-22
1968-9317,Paris 2,A,32.0,Clay,False,1968,2026-08-22
1968-9318,Bastad WCT,A,4.0,Clay,False,1968,2026-08-22
1968-9319,Cannes WCT,A,8.0,Hard,False,1968,2026-08-22
1968-9320,Pretoria WCT,A,16.0,Clay,False,1968,2026-08-22
1968-9321,Johannesburg WCT,A,16.0,Hard,False,1968,2026-08-22
1968-9322,Durban WCT,A,16.0,Hard,False,1968,2026-08-22
1968-9323,East London WCT,A,16.0,Hard,False,1968,2026-08-22
1968-9324,Port Elizabeth WCT,A,16.0,Hard,False,1968,2026-08-22
1968-9325,Cape Town WCT,A,16.0,Hard,False,1968,2026-08-22
1968-9326,Kimberley WCT,A,16.0,Clay,False,1968,2026-08-22
1968-9327,Sao Paulo NTL 2,A,4.0,Clay,False,1968,2026-08-22
1968-9328,La Paz NTL,A,4.0,Clay,False,1968,2026-08-22
1968-9329,Lima NTL,A,4.0,Clay,False,1968,2026-08-22
1968-9330,Vienna WCT,A,4.0,Hard,False,1968,2026-08-22
1968-9331,Nashville,A,6.0,Carpet,True,1968,2026-08-22
1968-9332,London 2,A,32.0,Hard,False,1968,2026-08-22
1968-9333,Tampa,A,16.0,Clay,False,1968,2026-08-22
1968-9334,Lugano,A,64.0,Clay,False,1968,2026-08-22
1968-9335,Indianapolis,A,64.0,Clay,False,1968,2026-08-22
1968-9336,La Jolla,A,32.0,Hard,False,1968,2026-08-22
1968-9337,Parioli,A,64.0,Clay,False,1968,2026-08-22
1968-9338,Catania,A,32.0,Clay,False,1968,2026-08-22
1968-9339,Naples,A,64.0,Clay,False,1968,2026-08-22
1968-9341,Brisbane,A,64.0,Grass,False,1968,2026-08-22
1968-9343,Bloemfontein,A,64.0,Hard,False,1968,2026-08-22
1968-9346,Cape Town,A,,,False,1968,2026-08-22
1968-9347,Reggio Calabria,A,64.0,Clay,False,1968,2026-08-22
1968-9348,Mexico City,A,,,False,1968,2026-08-22
1968-T101,Bombay,A,,Clay,False,1967,2026-08-22
1968-T102,Calcutta,A,,,False,1967,2026-08-22
1968-T103,Port Elizabeth,A,,,False,1968,2026-08-22
1968-T104,San Juan,A,,,False,1968,2026-08-22
1968-T105,Bremen Indoors,A,,Carpet,True,1968,2026-08-22
1968-T107,Pittsburgh Indoors,A,,Carpet,True,1968,2026-08-22
1968-T108,Concord Indoors,A,,Carpet,True,1968,2026-08-22
1968-T109,Munich Indoors,A,,Carpet,True,1968,2026-08-22
1968-T110,Long Island Indoors,A,,Carpet,True,1968,2026-08-22
1968-T111,Phoenix,A,,,False,1968,2026-08-22
1968-T112,Cannes,A,,,False,1968,2026-08-22
1968-T113,Madrid,A,,Clay,False,1968,2026-08-22
1968-T114,Los Angeles SoCal Chps,A,,,False,1968,2026-08-22
1968-T115,Oakland,A,,,False,1968,2026-08-22
1968-T116,La Coruna,A,,Clay,False,1968,2026-08-22
1968-T119,Viareggio,A,,Clay,False,1968,2026-08-22
1968-T120,Ortisei,A,,Clay,False,1968,2026-08-22
1968-T121,Aberavon,A,,Carpet,True,1968,2026-08-22
1968-T125,Barcelona Nationals,A,,Clay,False,1968,2026-08-22
1968-T130,Woodside,A,,,False,1968,2026-08-22
1968-T131,Helsinki,A,,,False,1968,2026-08-22
1968-T132,Saltsjoebaden,A,,,False,1968,2026-08-22
1968-T133,San Antonio Collegiate,A,,,False,1968,2026-08-22
1968-T134,King's Cup 2R,A,,Carpet,True,1968,2026-08-22
1968-T137,Montana Vermala,A,,,False,1968,2026-08-22
1968-T139,Senigallia,A,,,False,1968,2026-08-22
1968-T140,Scheveningen,A,,Clay,False,1968,2026-08-22
1968-T142,Quebec City,A,,,False,1968,2026-08-22
1968-T143,Bucharest,A,,,False,1968,2026-08-22
1968-T144,Mamaia,A,,,False,1968,2026-08-22
1968-T145,Las Vegas,A,,,False,1968,2026-08-22
1968-T146,Belgrade,A,,Clay,False,1968,2026-08-22
1968-T150,Madrid Real,A,,,False,1968,2026-08-22
1968-T160,Kings Cup SF,A,,Carpet,True,1968,2026-08-22
1968-T161,Kings Cup Final,A,,Carpet,True,1968,2026-08-22
1968-T162,Valencia,A,,,False,1969,2026-08-22
1968-T166,Cannes Chps,A,,,False,1968,2026-08-22
1968-T167,Hanau,A,,,False,1968,2026-08-22
1968-T168,Narberth,A,,Hard,False,1968,2026-08-22
